    time    temp    dens
   9.96826643036671E-01   5.90636120690575E-02   8.01864312060387E-01
     nin     zin       y       x
 42   21     2.66735296210540E-71   1.68043236612640E-69
 43   21     4.23263820323792E-80   2.70888845007227E-78
 44   21     2.34043847841659E-87   1.52128501097078E-85
 45   21     8.13971656346419E-98   5.37221293188636E-96
 46   21     1.00000000000000E-99   1.00000000000000E-99
 47   21     1.00000000000000E-99   1.00000000000000E-99
 48   21     1.00000000000000E-99   1.00000000000000E-99
 49   21     1.00000000000000E-99   1.00000000000000E-99
 50   21     1.00000000000000E-99   1.00000000000000E-99
 51   21     1.00000000000000E-99   1.00000000000000E-99
 52   21     1.00000000000000E-99   1.00000000000000E-99
 53   21     1.00000000000000E-99   1.00000000000000E-99
 54   21     1.00000000000000E-99   1.00000000000000E-99
 55   21     1.00000000000000E-99   1.00000000000000E-99
 12   22     1.00000000000000E-99   1.00000000000000E-99
 13   22     1.00000000000000E-99   1.00000000000000E-99
 14   22     6.59400479188201E-41   2.37384172507752E-39
 15   22     3.40884210183275E-35   1.26127157767812E-33
 16   22     7.47479952787101E-27   2.84042382059098E-25
 17   22     4.70229710481438E-25   1.83389587087761E-23
 18   22     5.42299007792351E-17   2.16919603116940E-15
 19   22     7.33063396783343E-16   3.00555992681171E-14
 20   22     4.38240529275459E-14   1.84061022295693E-12
 21   22     2.58884647903050E-13   1.11320398598312E-11
 22   22     1.56061831522332E-06   6.86672058698259E-05
 23   22     4.33863706327658E-08   1.95238667847446E-06
 24   22     2.67864298647967E-07   1.23217577378065E-05
 25   22     3.20373378665094E-07   1.50575487972594E-05
 26   22     6.22773817399109E-07   2.98931432351572E-05
 27   22     6.28568666533157E-08   3.07998646601247E-06
 28   22     1.65772244375239E-09   8.28861221876193E-08
