    time    temp    dens
   9.57145088744815E-01   6.13589965206727E-02   9.05787808620384E-01
     nin     zin       y       x
 43   20     1.37269939755862E-57   8.64800620461930E-56
 44   20     8.50643079009300E-62   5.44411570565952E-60
 45   20     7.04510963268772E-65   4.57932126124702E-63
 46   20     3.24317329125834E-68   2.14049437223050E-66
 47   20     1.67580113736293E-70   1.12278676203316E-68
 48   20     7.03423683192890E-76   4.78328104571165E-74
 49   20     7.68956928581756E-77   5.30580280721412E-75
 50   20     4.49544175611399E-81   3.14680922927979E-79
 51   20     1.71436351993148E-85   1.21719809915135E-83
 52   20     5.27338654775209E-86   3.79683831438151E-84
 53   20     1.33372519087590E-89   9.73619389339408E-88
 11   21     1.86612635922035E-41   5.97160434950511E-40
 12   21     2.94317308080815E-40   9.71247116666691E-39
 13   21     1.31687976610577E-34   4.47739120475961E-33
 14   21     9.01632111958878E-32   3.15571239185607E-30
 15   21     2.01539022293588E-26   7.25540480256917E-25
 16   21     1.24788247705515E-23   4.61716516510404E-22
 17   21     3.03737228382491E-20   1.15420146785347E-18
 18   21     3.12686432111333E-19   1.21947708523420E-17
 19   21     1.79698335124026E-12   7.18793340496102E-11
 20   21     3.53298560819752E-10   1.44852409936098E-08
 21   21     4.38099186548542E-10   1.84001658350388E-08
 22   21     1.84040604993222E-08   7.91374601470857E-07
 23   21     1.81444733599139E-09   7.98356827836210E-08
 24   21     1.26782901629177E-08   5.70523057331298E-07
 25   21     8.46257076818793E-13   3.89278255336645E-11
 26   21     8.87754295428555E-11   4.17244518851421E-09
 27   21     6.02292848258883E-13   2.89100567164264E-11
 28   21     1.82338905555249E-13   8.93460637220720E-12
 29   21     3.88839245943714E-14   1.94419622971857E-12
 30   21     3.61365179676182E-16   1.84296241634853E-14
 31   21     9.14226354458964E-17   4.75397704318661E-15
 32   21     2.94954178938860E-19   1.56325714837596E-17
 33   21     1.01426336886633E-21   5.47702219187819E-20
 34   21     1.36165234693934E-25   7.48908790816635E-24
 35   21     1.63831173881721E-27   9.17454573737639E-26
 36   21     4.31112061997106E-31   2.45733875338351E-29
 37   21     1.05350016809354E-32   6.11030097494256E-31
 38   21     6.13161175248466E-37   3.61765093396595E-35
 39   21     7.09707018655758E-38   4.25824211193455E-36
 40   21     2.29772800122572E-43   1.40161408074769E-41
 41   21     5.67243363610095E-46   3.51690885438259E-44
 42   21     4.43466847351070E-49   2.79384113831174E-47
 43   21     3.24175066951226E-53   2.07472042848785E-51
 44   21     3.55509544537292E-56   2.31081203949240E-54
 45   21     1.97716410314613E-59   1.30492830807645E-57
 46   21     1.32758073054112E-61   8.89479089462547E-60
 47   21     6.43573074083574E-67   4.37629690376830E-65
 48   21     9.79403910561906E-68   6.75788698287715E-66
 49   21     6.07000456487066E-72   4.24900319540946E-70
 50   21     3.09398832600867E-76   2.19673171146616E-74
 51   21     1.02124008726627E-76   7.35292862831714E-75
 52   21     3.29410762202564E-80   2.40469856407872E-78
 53   21     5.22433455174635E-83   3.86600756829230E-81
 54   21     6.05830876685123E-86   4.54373157513842E-84
 55   21     5.34430873359500E-91   4.06167463753220E-89
 12   22     5.91349984943199E-43   2.01058994880688E-41
 13   22     9.87733724729105E-44   3.45706803655187E-42
 14   22     7.97663714345152E-38   2.87158937164255E-36
 15   22     1.48361708078873E-31   5.48938319891830E-30
 16   22     1.98070585604728E-24   7.52668225297966E-23
 17   22     2.13151243942494E-21   8.31289851375727E-20
 18   22     2.93330461597295E-18   1.17332184638918E-16
 19   22     9.64505792507272E-17   3.95447374927982E-15
 20   22     8.64955051585356E-12   3.63281121665850E-10
 21   22     3.86877858189387E-11   1.66357479021437E-09
 22   22     2.25006398690474E-07   9.90028154238085E-06
 23   22     1.47921960838560E-08   6.65648823773521E-07
 24   22     4.19318944330956E-08   1.92886714392240E-06
 25   22     6.30484758166504E-08   2.96327836338257E-06
 26   22     6.16715311618427E-08   2.96023349576845E-06
 27   22     3.33250688688963E-09   1.63292837457592E-07
 28   22     4.64519598927893E-11   2.32259799463946E-09
